0.000500,BL,Nube,Denied,Right,10
0.163288,ML,Nube,Aproved,Right,10
0.000427,BL,Nube,Aproved,Right,10
0.151670,ML,Nube,Aproved,Right,10
0.000418,BL,Nube,Aproved,Right,10
0.157847,ML,Nube,Aproved,Right,10
0.000889,BL,Nube,Denied,Right,10
0.155973,ML,Nube,Aproved,Right,10
0.001252,BL,Nube,Denied,Right,10
0.152146,ML,Nube,Aproved,Right,10
0.001345,BL,Nube,Aproved,Right,10
0.158706,ML,Nube,Aproved,Right,10
0.000332,BL,Nube,Denied,Right,10
0.153003,ML,Nube,Aproved,Right,10
0.001007,BL,Nube,Aproved,Wrong,10
0.150588,ML,Nube,Aproved,Right,10
0.001178,BL,Nube,Aproved,Right,10
0.159073,ML,Nube,Aproved,Right,10
0.000992,BL,Nube,Denied,Right,10
0.151943,ML,Nube,Aproved,Right,10
0.000361,BL,Nube,Denied,Right,100
0.154321,ML,Nube,Aproved,Wrong,100
0.000925,BL,Nube,Aproved,Right,100
0.162353,ML,Nube,Aproved,Right,100
0.001248,BL,Nube,Aproved,Right,100
0.150075,ML,Nube,Aproved,Right,100
0.000676,BL,Nube,Aproved,Right,100
0.155604,ML,Nube,Aproved,Right,100
0.001784,BL,Nube,Aproved,Right,100
0.172110,ML,Nube,Aproved,Right,100
0.000396,BL,Nube,Denied,Right,100
0.156652,ML,Nube,Aproved,Right,100
0.000561,BL,Nube,Aproved,Right,100
0.155833,ML,Nube,Aproved,Right,100
0.000412,BL,Nube,Denied,Right,100
0.163131,ML,Nube,Aproved,Right,100
0.000359,BL,Nube,Aproved,Right,100
0.152131,ML,Nube,Aproved,Right,100
0.000431,BL,Nube,Aproved,Right,100
0.152599,ML,Nube,Aproved,Right,100
0.000381,BL,Nube,Aproved,Right,100
0.155272,ML,Nube,Aproved,Right,100
0.000402,BL,Nube,Aproved,Right,100
0.156338,ML,Nube,Aproved,Right,100
0.000770,BL,Nube,Aproved,Wrong,100
0.157110,ML,Nube,Aproved,Right,100
0.000948,BL,Nube,Aproved,Right,100
0.156785,ML,Nube,Aproved,Right,100
0.000386,BL,Nube,Aproved,Right,100
0.156320,ML,Nube,Aproved,Right,100
0.001084,BL,Nube,Aproved,Right,100
0.155777,ML,Nube,Aproved,Right,100
0.000857,BL,Nube,Denied,Right,100
0.155957,ML,Nube,Aproved,Right,100
0.001065,BL,Nube,Aproved,Right,100
0.159510,ML,Nube,Aproved,Right,100
0.001151,BL,Nube,Aproved,Right,100
0.155741,ML,Nube,Aproved,Right,100
0.001330,BL,Nube,Aproved,Right,100
0.156841,ML,Nube,Aproved,Right,100
0.000510,BL,Nube,Denied,Right,100
0.155642,ML,Nube,Aproved,Right,100
0.000357,BL,Nube,Aproved,Right,100
0.161634,ML,Nube,Aproved,Right,100
0.000922,BL,Nube,Denied,Right,100
0.156990,ML,Nube,Aproved,Right,100
0.001118,BL,Nube,Denied,Right,100
0.155567,ML,Nube,Aproved,Right,100
0.000868,BL,Nube,Aproved,Right,100
0.156179,ML,Nube,Aproved,Right,100
0.001121,BL,Nube,Aproved,Right,100
0.152659,ML,Nube,Aproved,Wrong,100
0.003037,BL,Nube,Aproved,Right,100
0.155288,ML,Nube,Aproved,Right,100
0.001094,BL,Nube,Aproved,Right,100
0.153862,ML,Nube,Aproved,Right,100
0.000673,BL,Nube,Aproved,Right,100
0.153548,ML,Nube,Aproved,Right,100
0.001136,BL,Nube,Aproved,Wrong,100
0.155740,ML,Nube,Aproved,Right,100
0.000318,BL,Nube,Denied,Right,100
0.154008,ML,Nube,Aproved,Right,100
0.000633,BL,Nube,Denied,Right,100
0.158630,ML,Nube,Aproved,Right,100
0.000382,BL,Nube,Denied,Right,100
0.153019,ML,Nube,Aproved,Right,100
0.000612,BL,Nube,Aproved,Right,100
0.154042,ML,Nube,Aproved,Right,100
0.000831,BL,Nube,Aproved,Right,100
0.158098,ML,Nube,Aproved,Right,100
0.000710,BL,Nube,Denied,Right,100
0.155382,ML,Nube,Aproved,Wrong,100
0.000386,BL,Nube,Aproved,Right,100
